
Discussion :

{Enter your intriguing discussion (explaining observations/results) here}



----------Evaluation START----------

### Evaluating AM model: 1k ### 

BLEU scores with N-gram (n) = 1: 	0.3125	0.4444	0.5385	0.3571	0.3846	0.6000	0.3846	0.6250	0.2477	0.3000	0.5385	0.4615	0.6667	0.4444	0.3957	0.4600	0.4444	0.3995	0.2500	0.4524	0.6250	0.6000	0.4286	0.4667	0.3750
BLEU scores with N-gram (n) = 2: 	0.2041	0.2357	0.2996	0.1657	0.1790	0.4472	0.1790	0.4226	0.0000	0.0000	0.3669	0.2774	0.4082	0.2287	0.2378	0.2774	0.2357	0.2513	0.1508	0.3016	0.4226	0.4472	0.3145	0.3162	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0000	0.0000	0.0000	0.0000	0.2304	0.0000	0.0000	0.1484	0.1640	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2020	0.1974	0.0000


### Evaluating AM model: 10k ### 

BLEU scores with N-gram (n) = 1: 	0.3750	0.4444	0.6154	0.4286	0.3846	0.6000	0.3846	0.7500	0.3715	0.5000	0.6154	0.3846	0.6667	0.5000	0.4617	0.4600	0.5556	0.4993	0.5000	0.4524	0.7500	0.9000	0.5000	0.4667	0.3750
BLEU scores with N-gram (n) = 2: 	0.1581	0.2357	0.4529	0.1816	0.1790	0.4472	0.1790	0.6547	0.0000	0.3333	0.3922	0.2532	0.2887	0.2970	0.3146	0.3397	0.2635	0.3245	0.3015	0.3016	0.5669	0.7071	0.3397	0.2582	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.3341	0.0000	0.0000	0.3684	0.0000	0.5228	0.0000	0.2404	0.2409	0.0000	0.0000	0.1767	0.1976	0.2198	0.0000	0.0000	0.0000	0.0000	0.3770	0.5000	0.2126	0.0000	0.0000


### Evaluating AM model: 15k ### 

BLEU scores with N-gram (n) = 1: 	0.3750	0.4444	0.5385	0.5000	0.3846	0.6000	0.4615	0.7500	0.2477	0.4000	0.6154	0.4615	0.6667	0.3889	0.4617	0.4600	0.5556	0.4494	0.4167	0.4524	0.7500	0.9000	0.5000	0.4000	0.3750
BLEU scores with N-gram (n) = 2: 	0.1581	0.2357	0.2996	0.1961	0.1790	0.4472	0.1961	0.6547	0.0000	0.2108	0.3922	0.2774	0.2887	0.2139	0.3146	0.3397	0.2635	0.2666	0.1946	0.3016	0.5669	0.7071	0.3397	0.2390	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0000	0.5228	0.0000	0.0000	0.2409	0.0000	0.0000	0.1419	0.1976	0.2198	0.0000	0.0000	0.0000	0.0000	0.3770	0.5000	0.2126	0.0000	0.0000


### Evaluating AM model: 30k ### 

BLEU scores with N-gram (n) = 1: 	0.3750	0.4444	0.5385	0.4286	0.3846	0.6000	0.5385	0.7500	0.3715	0.4000	0.5385	0.4615	0.5556	0.3889	0.4617	0.4600	0.5556	0.4993	0.3333	0.4524	0.8750	0.9000	0.5000	0.4667	0.3750
BLEU scores with N-gram (n) = 2: 	0.1581	0.2357	0.2996	0.1816	0.1790	0.4472	0.2118	0.6547	0.0000	0.0000	0.2996	0.2774	0.2635	0.2139	0.3146	0.3397	0.2635	0.3245	0.1741	0.3016	0.7906	0.7071	0.3397	0.3162	0.2315
BLEU scores with N-gram (n) = 3: 	0.0000	0.0000	0.0000	0.0000	0.0000	0.3684	0.0000	0.5228	0.0000	0.0000	0.2013	0.0000	0.0000	0.1419	0.1976	0.2198	0.0000	0.0000	0.0000	0.0000	0.6786	0.5000	0.2126	0.1974	0.0000

----------Evaluation END----------
